Building Name,Floor,Adjacent Rooms,Gender,Single Occ.,# Stalls,# Urinals,Urinal Partitions,Full Length Door,ADA Accessible,Hangers,Auto. Flushing,Free Menstrual Products,Changing Table,Building Hours,Access Restrictions,Additional Notes
Rhodes Hall,2,206,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Rhodes Hall,3,310,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Rhodes Hall,4,411,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Rhodes Hall,5,508,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Rhodes Hall,6,608,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Rhodes Hall,7,708,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Space Sciences Building,1,105,Female,No,3,0,N/A,No,Yes,Inside Stall,No,No,Yes,8 AM - 4:30 PM (M-F),,
Tang Hall,1,193,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor next to staircase 
Tang Hall,1,197,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,By east most side exit
Tang Hall,2,236,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor across from 236
Tang Hall,2,236,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor across from 236
Tang Hall,3,301,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor next to 301
Tang Hall,3,301,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor next to 301
Tang Hall,4,"418, 407",Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,In corridor next to 407
Tang Hall,4,"418, 407",Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,Yes,Yes,No,,,Across from elevator
Tang Hall,1,111,Male,No,,,,,,,,,,,,
Tang Hall,2,206,Male,No,,,,,,,,,,,,Across from elevator
Tang Hall,4,400,Male,No,,,,,,,,,,,,
Tang Hall,1,111,Female,No,3,0,N/A,No,Yes,Inside Stall,Yes,Yes,No,,,Shelves for belongings
Tang Hall,3,320,Female,No,4,0,N/A,No,Yes,Inside Stall,No,Yes,No,,,Across from elevator
Tang/ Kimball Hall,1,"172, 171",Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,No,Yes,Yes,,,Next to entrance
Upson Hall,1,125,Neutral,Yes,1,0,N/A,Yes,Yes,None,No,No,Yes,Open 24/7,N/A,
Upson Hall,2,225,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,No,No,No,Open 24/7,N/A,
Upson Hall,3,325,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,No,No,No,Open 24/7,N/A,
Upson Hall,4,425,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,No,No,No,Open 24/7,N/A,
Upson Hall,5,525,Neutral,Yes,1,0,N/A,Yes,Yes,Inside Stall,No,No,No,Open 24/7,N/A,
Upson Hall,1,125,Male,No,,,,,,,,,,Open 24/7,N/A,
Upson Hall,2,225,Male,No,,,,,,,,,,Open 24/7,N/A,
Upson Hall,3,325,Male,No,,,,,,,,,,Open 24/7,N/A,
Upson Hall,4,425,Male,No,,,,,,,,,,Open 24/7,N/A,
Upson Hall,5,525,Male,No,,,,,,,,,,Open 24/7,N/A,
Upson Hall,1,125,Female,No,6,0,N/A,No,Yes,Inside Stall,No,No,No,Open 24/7,N/A,
Upson Hall,2,225,Female,No,6,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Upson Hall,3,325,Female,No,6,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Upson Hall,4,425,Female,No,6,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Upson Hall,5,525,Female,No,6,0,N/A,No,Yes,Inside Stall,No,Yes,No,Open 24/7,N/A,
Carpenter Hall,1,114,Female,No,2,0,N/A,No,No,Both Inside and Outside Stall,No,Yes,No,Open 24/7,engineering students,in hallway by staircase
Carpenter Hall,1,114,Male,No,3,4,Yes,No,No,Both Inside and Outside Stall,No,No,No,Open 24/7,engineering student,in hallway by staircase
